URL,Rank
https://apps.apple.com/us/app/kayak-flights-hotels-cars/id305204535?eventid=6472814118,3
https://apps.apple.com/us/app/checkfelix-fl%C3%BCge-hotels-autos/id492728058,2
https://apps.apple.com/us/app/mundi-voos-hot%C3%A9is-e-carros/id600097979,1
https://apps.apple.com/us/app/swoodoo-fl%C3%BCge-hotels-autos/id362070846,0
https://apps.apple.com/us/app/kiwi-com-book-cheap-flights/id657843853,-1
https://apps.apple.com/us/app/cheapflights-flights-hotels/id773105628,-2
https://apps.apple.com/us/app/momondo-flights-hotels-cars/id436736538,-3
https://apps.apple.com/us/app/last-minute-cheap-flights/id952459926,-4
https://apps.apple.com/us/app/skyscanner-travel-deals/id415458524,-5
https://apps.apple.com/us/app/cheap-flights-wayaway/id606870241,-6
https://www.apple.com/legal/internet-services/terms/site.html,-7
https://apps.apple.com/us/charts/iphone/travel-apps/6003,-8
https://www.apple.com/us/shop/goto/help/sales_refunds,-9
https://apps.apple.com/us/developer/kayak/id305204538,-10
https://www.apple.com/us/shop/goto/us/shop/goto/bag,-11
https://www.apple.com/us/shop/goto/buy_accessories,-12
https://www.apple.com/choose-country-region/,-13
https://apps.apple.com/story/id1538632801,-14
https://itunes.apple.com/us/genre/id6003,-15
https://www.apple.com/us/shop/goto/store,-16
https://www.apple.com/legal/privacy/,-17
https://www.apple.com/ios/app-store/,-18
https://www.apple.com/entertainment/,-19
https://www.kayak.com/feedback/form,-20
https://www.apple.com/us/search,-21
https://www.apple.com/sitemap/,-22
https://www.apple.com/tv-home/,-23
https://www.apple.com/airpods/,-24
https://www.apple.com/retail/,-25
https://www.kayak.com/privacy,-26
https://www.apple.com/iphone/,-27
https://www.apple.com/legal/,-28
https://www.kayak.com/mobile,-29
https://www.apple.com/watch/,-30
https://www.apple.com/ipad/,-31
https://www.apple.com/mac/,-32
https://locate.apple.com/,-33
https://support.apple.com,-34
https://www.apple.com/,-35
https://play.google.com/intl/en_us/about/play-terms.html,-36
https://support.google.com/googleplay?p=pff_parentguide,-37
https://support.google.com/googleplay/?p=report_content,-38
https://support.google.com/googleplay/answer/7007852,-39
https://support.google.com/googleplay/?p=about_play,-40
https://support.google.com/googleplay/answer/134336,-41
https://store.google.com/?playredirect=true,-42
https://myaccount.google.com/termsofservice,-43
http://developer.android.com/index.html,-44
https://play.google.com/about/giftcards,-45
https://play.google.com/about/play-pass,-46
https://policies.google.com/privacy,-47
https://www.kayak.com,-48
https://www.cz.kayak.com/,-49
https://www.at.kayak.com/,-50
https://www.vn.kayak.com/,-51
https://www.kayak.com.uy/,-52
https://www.kayak.com.tr/,-53
https://www.tw.kayak.com/,-54
https://www.fi.kayak.com/,-55
https://www.za.kayak.com/,-56
https://www.ro.kayak.com/,-57
https://www.kayak.com.do/,-58
https://www.kayak.com.pr/,-59
https://www.kayak.com.ph/,-60
https://www.kayak.com.pe/,-61
https://www.kayak.com.py/,-62
https://www.kayak.com.pa/,-63
https://www.kayak.com.ni/,-64
https://www.nz.kayak.com/,-65
https://www.kayak.com.mx/,-66
https://www.kayak.com.my/,-67
https://www.il.kayak.com/,-68
https://www.kayak.com.hk/,-69
https://www.kayak.com.hn/,-70
https://www.kayak.com.gt/,-71
https://www.gr.kayak.com/,-72
https://www.kayak.com.sv/,-73
https://www.kayak.com.ec/,-74
https://www.kayak.com.co/,-75
https://www.cn.kayak.com/,-76
https://www.ca.kayak.com/,-77
https://www.kayak.com.br/,-78
https://www.be.kayak.com/,-79
https://www.kayak.com.au/,-80
https://www.kayak.com.ar/,-81
https://www.kayak.co.th/,-82
https://www.kayak.co.ve/,-83
https://www.kayak.co.uk/,-84
https://www.kayak.co.kr/,-85
https://www.kayak.co.jp/,-86
https://www.kayak.co.id/,-87
https://www.kayak.co.in/,-88
https://www.kayak.co.cr/,-89
https://www.kayak.com/,-90
https://www.kayak.sa/,-91
https://www.kayak.ae/,-92
https://www.kayak.se/,-93
https://www.kayak.sg/,-94
https://www.kayak.ch/,-95
https://www.kayak.pt/,-96
https://www.kayak.pl/,-97
https://www.kayak.no/,-98
https://www.kayak.nl/,-99
https://www.kayak.it/,-100
https://www.kayak.ie/,-101
https://www.kayak.fr/,-102
https://www.kayak.es/,-103
https://www.kayak.de/,-104
https://www.kayak.dk/,-105
https://www.kayak.cl/,-106
https://www.kayak.bo/,-107
https://apps.apple.com/us/app/kayak-flights-hotels-cars/id305204535,-108
https://play.google.com/store/apps/details?id=com.kayak.android,-109
https://www.ua.kayak.com/,-110
https://kayak.com,-111
